,filename,xmin,ymin,xmax,ymax,width,height,classes
23327,c159f7cb48cd528495ae80e01ad9b81f_1094185988641304388_39732858.jpg,238,95,356,330,640,640,T-shirt
23352,13dfb5543b0a323bb8d879abc153930e_1069644506544495431_202310533.jpg,209,146,281,291,640,640,Shirt
13520,59de82eb04731469e5b9f723f9986521_1140268772119240099_1104247262.jpg,18,166,177,487,640,640,Outerwear
3134,c58a67792eaa55e6368359534be73fde_768960962639668026_622384583.jpg,124,291,185,412,640,640,Dress
13108,16a29c0d878ec95aed09727cb0e291dc_945035773794417319_1615595861.jpg,354,137,453,338,640,640,Outerwear
17788,ebfb611ba40df24ae7e480e78fc7fe89_909440086898802343_25411694.jpg,274,101,379,311,640,640,Suit
11781,f2f4f3864b925c527969a304fd06a98e_897098464594658747_1172153488.jpg,360,193,472,418,640,640,Sweater
9319,93ffe57d86dd9ac77b501f1d25c47b43_892631316631369932_12878309.jpg,460,38,568,253,640,640,Outerwear
6368,1a0e65c9e382f87e446c6239cd3eb62e_1080480528410159133_520831865.jpg,116,178,178,303,640,640,T-shirt
9183,e5dec9f98aa4638b21f96dffa10b56f6_985515260103665745_2012863369.jpg,205,42,397,427,640,640,Shirt
1243,64eb0a17aea9367729475df9fa7ee4ab_794762763611094916_309309046.jpg,129,264,260,525,640,640,Outerwear
6128,e9fe4087d6b6de2152c6dc70ad078043_1116426804433789277_2166720007.jpg,233,51,351,286,640,640,Outerwear
22506,3f32583d4554b8248a5a49f369e23926_703499310972783323_348459337.jpg,155,146,343,521,640,640,Tank top
5975,5588467a3adac027cd31fc6ba833c7d1_878840621676078009_1227458047.jpg,251,83,409,398,640,640,Outerwear
20540,7565e3cc623948f40975e312f54b523b_704467896675526444_225150184.jpg,205,6,333,261,640,640,Outerwear
14835,10f1462644596d9619b82137019dfff2_811082726126353985_1314308550.jpg,249,91,487,566,640,640,Outerwear
24697,04108ffa8c76dc992ea8901e6be74a48_694751032622251692_460934670.jpg,169,7,251,172,640,640,Dress
22708,d0ecac3b5d7edd992c0cbd5df3e5e19c_653512836559557542_31854755.jpg,60,136,175,366,640,640,Shirt
11658,c0f3288b26642efd33eda87bf7af1591_936795002160815153_224297566.jpg,446,66,546,265,640,640,T-shirt
3191,9742fbb210568c04f9a68f32e99bd256_523971403123895164_197047665.jpg,310,172,375,302,612,612,Dress
12045,58534dfdb5cf3d21fc8a01d94f6e1c37_534541226244869869_240662082.jpg,317,88,415,283,612,612,T-shirt
14952,ecfdc2c567d7b1276011410c54bbdb93_736370924984262733_34936847.jpg,75,113,177,318,640,640,Outerwear
13731,711c109e012f01ced6f037f67b7f972b_656108504994410668_627814987.jpg,446,143,527,304,640,640,T-shirt
9796,a443c5d64e1bf906aafb5eb7dae4a5a3_1015304512403566002_17452714.jpg,503,204,578,354,640,640,Shirt
23189,dd607a9de75edad25c55adae9157ad3c_689855683950112305_542927138.jpg,268,13,456,388,640,640,Outerwear
18070,ad4cf591d3a9385b5e44984d6c46f004_651051192720191571_385087971.jpg,256,68,411,378,612,612,Dress
5291,14609ad2005fc11c08829d06ab44d0c8_735566787778175060_308721527.jpg,353,78,495,363,640,640,T-shirt
25190,fd11e858a5eb9171750ea9327d29dd41_687189105683560541_52724701.jpg,94,374,156,499,640,640,T-shirt
23449,5518075731b8b20ede46fe24c325923d_943385479888574491_27125325.jpg,410,115,505,305,640,640,Suit
17712,da41929de6aa860bf0919237a5759b8f_1064474995524748502_1624765624.jpg,440,39,548,254,640,640,Dress
7550,c0572d0aec5219012c7a327523902f1b_888565043742239572_1031506401.jpg,478,43,608,304,640,640,Shirt
15156,4963e8b72cad8e8a19bbfb1e8cc2409d_713631053224709801_327057402.jpg,417,123,488,264,640,640,Dress
11990,1736e1e0f3c613fd8b4bf6ce1af42f46_1132966416757906611_30794950.jpg,471,118,589,353,640,640,T-shirt
15150,63285c9d51a36cdbe1f4ac11d8a9ca54_1078624972773253652_258150247.jpg,232,202,307,352,640,640,Outerwear
18868,9651be6a390423c3fb1f5ff0de1619ad_634067153223658704_271112282.jpg,307,238,488,599,640,640,Shirt
20112,5409bbf13c8ba16aa03aa1d790618a4b_842751901415739617_227862787.jpg,337,372,417,531,640,640,Outerwear
26635,e9d6a4af04fefb1b0edc3bc58bdc24c4_747725000366975808_331155857.jpg,380,67,549,408,640,640,Outerwear
6759,f5d8fc4da9cb7049fb1d1075e89b5941_883845849340222774_523217086.jpg,82,266,210,521,640,640,Outerwear
20223,18f39159a123e80f185d497be53790e1_866206278442403319_1416709464.jpg,191,29,332,309,640,640,Shirt
24947,be86328fada4a9f0a2cfcc09753f40e4_622335478541705141_371581654.jpg,272,0,457,369,640,640,Sweater
23442,8b13f044f792adc1dd46a082e7e046e1_935808001748213941_1130967791.jpg,195,136,300,346,640,640,Outerwear
2556,8db6c91afbcc173716297631e6633a1f_906416225334802621_701098789.jpg,353,120,448,310,640,640,Dress
20468,99f5b23595ff90c1999cba7d2f926183_724871618999874558_720774091.jpg,252,241,444,626,640,640,T-shirt
12659,9c9a5c323d4ace398b6669edca451c80_535589418901886261_535006716.jpg,111,166,172,286,612,612,Dress
9226,6ac356b265081de55bacd917a2e72f18_579221861598329219_175348421.jpg,123,6,254,266,640,640,Dress
19407,5edb7cde780ac6b52482a047ffe3b21b_843027335187345306_143669682.jpg,265,127,416,427,640,640,Sweater
13059,bf1ed66c887a4fc1352b1b51f1b6c787_1114774751580280313_1401870276.jpg,78,132,180,337,640,640,Outerwear
2029,3812153e365042c2a1da8618f621c324_658726832525951797_276278727.jpg,289,136,378,317,640,640,Outerwear
26146,c1905c84d991a82309f3f3a0185942dc_625326279424272244_7869920.jpg,357,1,489,266,640,640,Shirt
26652,4838b9f32b744011deb9d9c607dcc96d_690805363117102304_22670484.jpg,417,343,515,538,640,640,Suit
10060,d8308b414090567c02da895943ba36de_891994009677507395_221286705.jpg,274,81,356,246,640,640,Outerwear
24395,10fd4c598b61cd2ec3c342cdbf6fcd0f_725291906631620758_44048989.jpg,220,154,315,344,640,640,Shirt
24466,9d9155ae1d71839efcdb83b6dbcc9983_699187622627749006_299756258.jpg,115,118,297,483,640,640,Shirt
14452,6222a3e0f25c7ca4564b0f7f8e134e80_1068934162755033026_266189804.jpg,343,73,463,312,640,640,Shirt
7151,9dc85fb874f24e0f16ff0c5683928216_889114390203701517_523754581.jpg,159,179,264,389,640,640,T-shirt
12038,2ab734b956853ef03333c508a07cdff1_662025951135990920_440880832.jpg,277,21,436,342,640,640,T-shirt
8543,fabfae6ab7f1f841b00df9d16c3c0bf5_816740622169566484_175220794.jpg,381,8,443,133,640,640,T-shirt
12645,2148cbfd736fb56efa44a08a8ea4ccb4_685598411336282402_273154443.jpg,279,201,347,336,640,640,Outerwear
12065,432375995cd602c8a3c11e4017dc683f_1143813831608643526_9093466.jpg,517,105,622,315,640,640,T-shirt
10143,b3c4b34c0f6b771aa07fa17faabf0c7b_532821520802560910_288171965.jpg,209,3,371,328,612,612,Shirt
24981,3260c9d63fb37ef4573adf2c1b3cc95d_553613539911099022_248194055.jpg,315,167,413,362,612,612,Shirt
24559,c873f590d3ac868805d105021872f470_1026317531059834723_37736266.jpg,95,168,197,373,640,640,T-shirt
2933,6156f523c594b4a398693bfecb828a93_588047868654519760_490546280.jpg,445,303,506,424,640,640,T-shirt
10293,9d5917a52fac84a6f44d8cc86f606aff_919443469607748999_15775368.jpg,181,91,303,336,640,640,Shirt
5430,60990b7b4eb57d8864e7fc3503c9fb3a_1081351334357378437_568174360.jpg,288,91,376,266,640,640,T-shirt
17170,74ca7846118dac3d12eb692a437edbb9_697931969058836333_240307306.jpg,220,168,348,423,640,640,T-shirt
8923,7b43b32a7ceb75a54f38a6f1937ac515_597226876693903647_188447557.jpg,437,34,498,155,612,612,Tank top
2136,b7ca66de48605cbee78baab7c4ad8c73_500044179534942784_182007979.jpg,223,142,381,457,612,612,T-shirt
11787,3347055066deef2dcc8114c31ef41c7f_793333026508720949_306247257.jpg,271,35,423,340,640,640,Tank top
17415,fe474fa03cef322ac3dd05257e6c1e3c_649016149581578693_589364943.jpg,191,5,323,270,640,640,Dress
1822,c73fe72a39fcd94f001fd10846d590d3_780552221690502669_1387830070.jpg,254,165,339,335,640,640,Tank top
5340,e23e986e9115029ded18937a5fce0977_740798915319573664_712216930.jpg,223,203,284,322,640,640,Dress
2822,d8406d025f71031d20d1827287de448d_720127351190447055_34664087.jpg,196,125,321,375,640,640,Shirt
22408,fd50d4d4d7736757eb929dc0734793e8_764059526295984200_577877053.jpg,287,165,348,286,640,640,Shirt
26406,79510ccae031b75ed2b808d447cb81e2_556381747480158476_37896079.jpg,393,103,528,373,612,612,Outerwear
10027,8403781b868df4df6945a06cacdaa516_578035559864178809_613929069.jpg,505,210,600,400,640,640,Shirt
9117,860baf2450e4697052c591efc157d9f1_879295329453071334_975148445.jpg,109,38,409,637,640,640,Outerwear
11241,81166e5b4208c926f61874f85ab3964a_897676275655235330_1524728700.jpg,260,47,461,446,640,640,Suit
7724,4aca55f2ad195453e7b8e950a1b4a5e8_1116105053965585168_285477241.jpg,135,224,225,404,640,640,Tank top
20286,9f9186abdef219b45d4ffe66e1aef3af_786813833567274657_12747304.jpg,238,225,299,346,640,640,Shirt
20980,0d7d296ca9a6cbd9a8d67341653efdb3_574768186033035624_144433189.jpg,258,226,323,356,640,640,Outerwear
15690,b27dc99d5ea465a45305a9b98e189192_792462044187915735_528024924.jpg,330,162,420,343,640,640,Shirt
23796,89296292d10e10aee843732abaf90d98_946068273232136004_1766184400.jpg,291,225,356,355,640,640,T-shirt
222,131b5050d1bb09c6c73ac83b91d00998_594845061483453418_33916909.jpg,189,288,254,418,640,640,Outerwear
25263,38e86e5a5e5ce7e46b948938de41c95d_827205285893763081_624015379.jpg,233,44,308,194,640,640,Dress
4306,9cbebf63a179d9b68818d7ad134d0398_757207341981257040_193446810.jpg,426,135,496,275,640,640,T-shirt
9854,0fb220752d6d8503c84e4644e954f548_816382544797824025_453310060.jpg,527,80,595,215,640,640,Shirt
15238,f63f3ebd85c9508e386af89e4ba38bee_819411153871808594_33090361.jpg,419,270,481,395,640,640,T-shirt
23957,e759c7c84937b5b41e4c525d320035eb_1119698314873962041_535917718.jpg,78,84,199,325,640,640,Dress
20870,9cc34686bfa0541eec90364104c453d4_875476298003913729_196104870.jpg,529,100,591,225,640,640,T-shirt
21176,d193b41a49ad4ad666ba2d31bdcc037c_521966370293692153_229575908.jpg,257,33,362,243,612,612,Dress
16690,df4a88563c3ba4c623028d28c188301f_515909665939681635_233555411.jpg,178,10,356,365,612,612,Dress
25255,341bc5840ea0d4e6cb17be635ecd7453_535408405332555322_478476724.jpg,74,275,142,410,612,612,Dress
10909,77376ccf83fb9d57a2aeb0e42f078fb7_881175815034234903_186974601.jpg,243,288,312,428,640,640,Shirt
23840,bd9e1ac696013546098aeb82d438e229_916440466084051956_53743821.jpg,97,105,165,240,640,640,Dress
122,ddcaa4e307ee31eecc06e1baf3d0dd25_628617864233328943_26571511.jpg,498,202,558,321,640,640,T-shirt
6235,e004edb8b4e90f4aa065c65316e4c964_784640572030834428_1292834212.jpg,148,80,210,205,640,640,Dress
7454,1a4780dfc950eaa83b811a37e01c2de0_1132686938483405780_1792515459.jpg,485,180,560,330,640,640,T-shirt
4201,8ecb0d73ee12df43744df08ba56dde88_905924266987528787_27518239.jpg,183,50,331,345,640,640,Tank top
23904,4f5189e2bb66a22c39d462685c1d39b4_575239026151834661_605903632.jpg,353,68,478,318,640,640,Tank top
3326,6d30df3b055a5877b1aadbb41d754173_565816844472253931_30908294.jpg,22,223,147,473,640,640,Tank top
18351,eead5fc8783bcd4c1664cb81a27a7fec_582244155599645106_181761049.jpg,100,239,195,429,640,640,T-shirt
6790,9f11180eba6ff694ba1bd4ac0e09a926_805739790792711170_234181590.jpg,271,162,339,297,640,640,T-shirt
24843,15a042b71260b2aa5565eb561db97e76_660725944315306177_238939887.jpg,291,20,352,141,640,640,Shirt
19748,db0772fe7a139253bead97da46dfe3d6_903102488774287676_203632663.jpg,224,116,342,351,640,640,Shirt
410,2446f94b54fd3aea36a59c3d8c86d426_900400364350373916_307418871.jpg,411,67,486,217,640,640,Suit
750,d7879aab526bd0739ea7805fdc7594b8_537566939119820209_223018782.jpg,351,282,416,412,612,612,Tank top
2116,bbe1a80c03816644888f5281d0eaf5b1_879959754274662760_210542969.jpg,277,16,402,266,640,640,Dress
23481,6f8e5213d08f17663f757f8cc479771b_1061512437745953057_407055105.jpg,392,82,467,232,640,640,Sweater
7289,5c2404b4bda4b5f8b3b51d33489bb7dc_940496640075703211_3622631.jpg,112,110,334,555,640,640,Dress
8569,cf36e35d835b6137d44d00c9f2919beb_599867721170825710_403311803.jpg,255,21,315,140,612,612,Outerwear
7165,7015916794d200370ac39a4e8255efb4_631053657276400927_261537800.jpg,272,10,392,251,640,640,Outerwear
25198,b0aaffd21a579c4e970c7b4c2cf60dd6_843139947190236020_288693531.jpg,124,240,206,405,640,640,T-shirt
26503,489c18b39411ecf7825c11538274532f_611419405172569801_219261500.jpg,147,120,265,355,640,640,Shirt
15160,ab06eb883f328add3da124c615cde2a4_895253619138240883_21106927.jpg,185,117,356,458,640,640,Outerwear
24280,303e22f9ca597fb61d3b73c22997ceff_772791098534493072_345003805.jpg,498,149,576,304,640,640,T-shirt
24650,eeea4707312be98fb3868da55d1d590e_962223867555821258_1697626100.jpg,288,270,399,491,640,640,Outerwear
4844,48130d95685da98971ead59bbe1802e6_793334108020917762_14724720.jpg,318,40,608,620,640,640,Tank top
8483,1a4780dfc950eaa83b811a37e01c2de0_1132686938483405780_1792515459.jpg,485,182,560,332,640,640,T-shirt
1766,973d5422ef02bd3819e26d35edb25684_500543103732929630_46669468.jpg,350,69,462,294,612,612,T-shirt
26519,2bd68108c4c33888fe8be68b88b6e926_594938769887783300_242714409.jpg,351,47,479,302,640,640,Shirt
26416,9e436a94a9772116272cd0fa66521233_644644199114065975_4978441.jpg,219,170,314,360,640,640,Shirt
10071,cd66311d2af1fe3c127b5488e4106c8b_997857249048727455_907501602.jpg,296,212,381,382,640,640,Sweater
23558,83184e6dea5b3a3a177f71332883ef27_697904553420725092_14304421.jpg,293,163,361,298,640,640,Tank top
895,45096ef8f248c7fc7f313aada52a2b9c_694978584133526202_646949631.jpg,21,224,123,429,640,640,Shirt
13046,7de622bf21f8897096e1eee18fd45c5d_844990778873392506_695563754.jpg,228,0,473,489,640,640,Suit
11695,461bc64f7ce66a9d3c852b8ab170422e_892068181898796975_232360102.jpg,411,185,506,375,640,640,Shirt
23890,f4e7b1f5e60fc1bc5424e4fda2501aeb_902187875092771401_1111756131.jpg,202,158,290,333,640,640,Shirt
7140,a7e74554adb6ea5f9978e86bebc2a7f7_745558955632537648_231466451.jpg,203,120,271,255,640,640,Outerwear
24439,76129553147253d32ca6c900fc4ca169_687965682048243933_3202373.jpg,167,63,267,264,640,640,Outerwear
19884,769337ac067bb538e2701a8f3721db03_561969576762742329_227490324.jpg,156,48,274,283,640,640,T-shirt
19524,efb41655e8ff7b6b2e7ca33fcf4f399e_880588678012006078_613132234.jpg,239,161,304,291,640,640,T-shirt
4992,b1159aa2bd8dcc756001f3a46d8b674a_504494229979092876_253512260.jpg,343,327,451,542,612,612,Outerwear
22546,458f8def1ee7be48e64e530f5bbb7c16_1067157718634266825_2021845191.jpg,445,131,513,266,640,640,Suit
26436,86625ce7a76c97fc0c91bb9cb3bbcdcb_760339505577335190_238472181.jpg,296,229,391,419,640,640,T-shirt
17856,40616f28ab9fa96e8449a8f0b377fa3f_851901779853150605_403747785.jpg,314,22,442,277,640,640,Outerwear
5764,fc906a01cded3285fbb689e26d487f71_526043861150936496_295967890.jpg,456,80,531,230,612,612,Outerwear
10145,c8a3ac9b8117a833c95b92ad83429dd7_695847809779792473_195662589.jpg,467,325,528,444,640,640,Shirt
13859,88cc93b45c3bd00c68bbef2cffee9234_1067463581787638994_362456938.jpg,39,194,157,429,640,640,Sweater
16413,61d66366c01ec4a4c8fad89f417c540e_781902220562360827_359148417.jpg,212,0,360,294,640,640,Shirt
3738,c4543cbee5fa7ed102e55aa2fc066db8_505033190034396302_371834628.jpg,150,102,232,267,612,612,Tank top
13524,79108d882546151048ab93107d28844b_1102542940976254132_1513055066.jpg,384,226,449,356,640,640,Shirt
626,1f83ac5ab1bef579fa4b16598cb5bb49_781659007327092592_324813534.jpg,237,16,372,286,640,640,Suit
18856,62068f92566c0ccd2441193aa91720e1_661647750217197397_214772168.jpg,224,14,379,324,640,640,T-shirt
26474,f81b849c31bb1b5576fd4ab79ac46d07_534412100024085384_288061737.jpg,116,105,178,230,612,612,T-shirt
18726,9fcf8706b3517903682197c13e348d78_525906042748510214_104989199.jpg,295,245,373,400,612,612,T-shirt
13249,6751c9bf7447bc172e6f97c35d235ac4_1142345474227882592_324872097.jpg,136,134,267,395,640,640,T-shirt
5151,ccb85432af87e6f99ac16349df8118ba_1087141885131735347_210678695.jpg,435,141,537,346,640,640,Outerwear
23108,4e585a3099fd7b9763135976b10f338f_618204894624516630_268960033.jpg,60,127,255,517,640,640,Outerwear
12500,e09904172ec5121a6d6cc73782ca0917_813769355398135522_677516710.jpg,415,182,500,352,640,640,T-shirt
12067,72e9c937182cfac40e3baff96287c38f_1148187927986911472_1548850845.jpg,251,9,399,304,640,640,Dress
2751,d19b587e6c458224949778879951ed29_847485578852075559_413144001.jpg,208,67,327,308,640,640,Outerwear
8231,cae136773f6923007244fd5c93403517_756881545500656334_400251887.jpg,239,9,414,359,640,640,Outerwear
13852,e2359266be235ac79c3365e34a0bb873_917886020698700909_5835702.jpg,304,111,399,301,640,640,Tank top
10596,d76603b12d1a397da1c2fb13b4cc5a7d_748132124963786635_462675402.jpg,228,13,350,258,612,612,Outerwear
16569,7ef8fd55c60c671bd6af0495736bad3a_797066986668895720_1077201482.jpg,257,17,385,272,640,640,T-shirt
1175,b3a60c5fa0c38f58ece0bf1841414fe3_567285962763190277_408136071.jpg,219,109,341,354,640,640,Dress
25406,da484ff76ad274306789c0c6526dafd3_656977386931535628_14515302.jpg,150,178,225,328,640,640,Outerwear
23433,d936fcd9809256a9b1b9bc549c859e99_886570242825957633_33881195.jpg,89,377,187,572,640,640,Tank top
23279,eda158e81c29fe4b37803cc4688beabe_947523634416855195_280758337.jpg,75,191,136,311,640,640,Outerwear
18890,6e7c6afa3173f85f312916cc8f642a51_692299065344850946_50083518.jpg,236,30,368,295,640,640,Dress
13117,da4b9f99823faf86ba32a94c936af931_748780317848411401_219897598.jpg,449,411,561,636,640,640,Outerwear
13833,c6133bcdd76584945f653bc73aad0c5b_762312958199801895_267917889.jpg,186,104,266,265,640,640,Outerwear
10455,14c5c8c514eecb6856955ac7785da170_844320993946197072_443916110.jpg,231,18,353,263,640,640,Outerwear
13102,eddc3128de6d9c4aa51d8e73cb93d183_946514954260656510_33004939.jpg,289,260,351,385,640,640,Sweater
17871,92a16edefed4cd9b974a097e7dc5495f_506155998516826975_12265467.jpg,156,243,224,378,612,612,Shirt
11698,6308e87359bba45e32517b02436b246c_851556182559151985_250418700.jpg,92,63,187,253,640,640,Outerwear
10309,4088442cf1553def904af5b35d5f3609_1084110014900545244_771581480.jpg,414,32,552,307,640,640,Dress
9552,96dfdf3151f85c25aa7c12d1cc43750b_583521677014930428_42523523.jpg,146,68,376,527,640,640,T-shirt
19181,747e61bdac15a2a0a57c3237189fb5e1_1070477128950510687_2000979508.jpg,352,46,521,387,640,640,Suit
10402,fb6225e91fdd4f7697bc7f7f83c06957_1125068130222297369_1179220211.jpg,287,97,429,382,640,640,T-shirt
2159,3b09128d04c28e8d7c941527268a9f38_819693361186619017_363004494.jpg,89,203,194,413,640,640,Dress
20211,1dcaf500b8cb35c013121e4ee8eac7cd_695511245487630695_236491305.jpg,397,60,522,310,640,640,Dress
6042,87bff2ed7fe2e7583fcd5894a1d38428_1131932504411025538_308452251.jpg,320,134,432,359,640,640,Outerwear
16037,1de9195aed33287a3117faead0a1a037_839079805935768958_326720084.jpg,272,63,461,442,640,640,Dress
19110,2e3b61d2f982e30f4cf17e4ee1b2457f_797972873452486302_702325542.jpg,261,441,322,562,640,640,Outerwear
22419,0efef9a15de726bc25a3ca7a74567e1c_661508667900394658_14600734.jpg,46,51,157,270,640,640,Sweater
22692,b55a57b351dcb6d63e401494c991e2b8_854263986657992551_1186507598.jpg,479,129,569,309,640,640,Suit
7365,56146a42c7a03987b860ff97709cea27_948896522480097844_486455485.jpg,325,127,453,382,640,640,Outerwear
8842,b4266c07853acc96b8527243c8d03e84_1089687040809309679_541129676.jpg,452,202,577,452,640,640,T-shirt
17073,08d03b4a28de8047d2ee1efc86df82a8_607876945145391857_249035665.jpg,353,70,453,269,640,640,Outerwear
9089,3b6f2176028f6f19f5700724b71040c3_798621590464683193_1424846718.jpg,249,159,381,424,640,640,Shirt
9728,1eefcf4c86a0c84587801a46fd97faa2_983674472283503588_428886277.jpg,339,58,458,299,640,640,Outerwear
24801,19c20f0dcee0410d292ec16a16346aa6_841976232521484103_243879336.jpg,244,207,346,412,640,640,Outerwear
13743,deb76ecc0f30660305ce22a525a9a98b_1057753690675896591_1575651559.jpg,287,81,427,362,640,640,Tank top
16903,1d256ee9019ce93a5ac0834dfaff0520_560167820802359230_145235478.jpg,178,221,366,596,640,640,T-shirt
17115,d7c177a2737cda4e739324de0e6810fa_880131627801956984_1417943635.jpg,354,25,492,300,640,640,Dress
15523,0f4a8a5456bef29ec887dc27ac7cfbb1_818999159259898852_226855487.jpg,243,295,311,430,640,640,Shirt
20962,0bf0f1f83093bed66902d3141c639c59_1079310296454409422_1254326418.jpg,334,56,566,521,640,640,Shirt
10590,2cadf056361d9aeddf74b71f12dafc79_1012917485660728658_335381466.jpg,108,8,203,198,640,640,Dress
2310,cfea7c15bf4833a17cffde50bf3d4f76_822761149646814042_206978117.jpg,131,114,233,319,640,640,Shirt
4766,0772c64195eaa201f26a1bae00a3183f_1037122814232721930_12849829.jpg,279,15,427,310,640,640,Shirt
